zero_shot_response,few_shot_response,black_box_response,prompt,zero_shot_top_index,few_shot_top_index,prompt_pick_cosine_sim_zero,prompt_pick_cosine_sim_few
"modest changes to our personal habits, but not to our society as a whole.",drastic changes to both our personal habits and to our society.,drastic changes to both our personal habits and to our society.,"Your goal is to predict what the black-box model will answer to a given question. Below are examples of inputs (questions) and the black-box model's actual responses.

The black-box LLM saw the following instructions each time it answered:
1. System instruction: ""You are a helpful AI assistant answering questions. Provide only accurate answers in natural language.""
2. Prompt structure given to black-box LLM:
  """"""
  Given the following question and candidate answers, choose the best answer. 
  Do not include option labels (A, B, C, D); respond only with natural answer text. 
  Provide only the answer text in your response.

  Question: <question_text>
  Options: <option_texts>
  """"""

Examples of the Black-Box LLM in Action:
Example 1:
Question: ""Of the two versions of the principle that Singer considers:""
Options: ""- he considers the stronger version to be correct.
- he considers the weaker version to be correct.
- he ends up rejecting them both.
- he claims that they are equivalent.""
Response: ""he considers the stronger version to be correct.""

Example 2:
Question: ""One objection to Singer’s theory that he considers is that it:""
Options: ""- does not do enough to address suffering in other countries besides our own.
- inappropriately makes proximity morally important.
- does not account for the fact that we have stricter obligations to our loved ones than to strangers.
- requires too drastic a revision to our moral scheme.""
Response: ""does not account for the fact that we have stricter obligations to our loved ones than to strangers.""

Example 3:
Question: ""Singer claims that his conclusions are similar to those of:""
Options: ""- Plato.
- Aristotle.
- Thomas Aquinas.
- Immanuel Kant.""
Response: ""Aristotle.""

Example 4:
Question: ""Singer claims that his argument upsets the traditional distinction between:""
Options: ""- duty and charity.
- egoism and altruism.
- rights and privileges.
- positive and negative rights.""
Response: ""duty and charity.""

Example 5:
Question: ""Mill claims that the principle of utility:""
Options: ""- can be proven from self-evident principles.
- can be proven from principles that are known empirically.
- cannot be proven, and this is a unique problem for the theory.
- cannot be proven, but this is common to all first principles.""
Response: ""cannot be proven, but this is common to all first principles.""




Based solely on these examples, predict the most likely response from the black-box model to this new question. 
New Question: According to Singer, compliance with his principle requires:
Options: - modest changes to our personal habits, but not to our society as a whole.
- modest changes to our personal habits, as well as to society.
- drastic changes to our personal habits, but not to our society.
- drastic changes to both our personal habits and to our society.
Your Predicted Black-box LLM Response: (Exact response text only)
",0,3,0.004449005704373121,0.05020777881145477
religion.,psychology.,psychology.,"Your goal is to predict what the black-box model will answer to a given question. Below are examples of inputs (questions) and the black-box model's actual responses.

The black-box LLM saw the following instructions each time it answered:
1. System instruction: ""You are a helpful AI assistant answering questions. Provide only accurate answers in natural language.""
2. Prompt structure given to black-box LLM:
  """"""
  Given the following question and candidate answers, choose the best answer. 
  Do not include option labels (A, B, C, D); respond only with natural answer text. 
  Provide only the answer text in your response.

  Question: <question_text>
  Options: <option_texts>
  """"""

Examples of the Black-Box LLM in Action:
Example 1:
Question: ""Anscombe claims that an adequate moral psychology would include:""
Options: ""- an answer to the mind-body problem.
- analyses of concepts such as “action” and “intention.”
- an explanation of how free will is possible.
- all of the above.""
Response: ""all of the above""

Example 2:
Question: ""Anscombe claims that the notion of moral obligation is derived from the concept of:""
Options: ""- preference.
- maximizing utility.
- positive law.
- divine law.""
Response: ""divine law""

Example 3:
Question: ""Anscombe criticizes as absurd Kant’s idea of:""
Options: ""- the thing in itself.
- the categorical imperative.
- the phenomenal self.
- legislating for oneself.""
Response: ""the thing in itself.""

Example 4:
Question: ""According to Ross, we should construct a moral theory by:""
Options: ""- constructing logical proofs for moral principles.
- consulting social conventions.
- reflecting on what we really think.
- consulting scripture.""
Response: ""reflecting on what we really think.""

Example 5:
Question: ""According to Feinberg, a good moral education:""
Options: ""- will make no use of pleasure or pain as sanctions.
- will be based entirely on the use of pleasure and pain as sanctions.
- will produce someone who does the right thing out of deference to authority.
- will produce someone who does the right thing simply because it is right.""
Response: ""will produce someone who does the right thing simply because it is right.""




Based solely on these examples, predict the most likely response from the black-box model to this new question. 
New Question: Anscombe claims that it is not profitable to do moral philosophy until we have an adequate philosophy of:
Options: - religion.
- physics.
- psychology.
- art.
Your Predicted Black-box LLM Response: (Exact response text only)
",0,2,0.1159978061914444,0.2051464319229126
Supererogation.,justice,justice.,"Your goal is to predict what the black-box model will answer to a given question. Below are examples of inputs (questions) and the black-box model's actual responses.

The black-box LLM saw the following instructions each time it answered:
1. System instruction: ""You are a helpful AI assistant answering questions. Provide only accurate answers in natural language.""
2. Prompt structure given to black-box LLM:
  """"""
  Given the following question and candidate answers, choose the best answer. 
  Do not include option labels (A, B, C, D); respond only with natural answer text. 
  Provide only the answer text in your response.

  Question: <question_text>
  Options: <option_texts>
  """"""

Examples of the Black-Box LLM in Action:
Example 1:
Question: ""When faced with the complaint that utilitarianism is a doctrine worthy of swine, Mill responds that pleasures differ in:""
Options: ""- purity.
- quality.
- species.
- weight.""
Response: ""quality""

Example 2:
Question: ""Mill claims that the principle of utility:""
Options: ""- can be proven from self-evident principles.
- can be proven from principles that are known empirically.
- cannot be proven, and this is a unique problem for the theory.
- cannot be proven, but this is common to all first principles.""
Response: ""cannot be proven, but this is common to all first principles.""

Example 3:
Question: ""Mill says that the ultimate end of utilitarianism is an existence as free of pain as possible and as rich as possible in _____.""
Options: ""- lower pleasures
- spiritual attainment
- social achievement
- enjoyments""
Response: ""enjoyments""

Example 4:
Question: ""Mill argues that virtue:""
Options: ""- is not desirable.
- is desirable only as a means to one’s own happiness.
- is desirable only as a means to the happiness of others.
- is desirable as part of one’s happiness.""
Response: ""is desirable as part of one’s happiness.""

Example 5:
Question: ""Mill claims that in deciding how to act:""
Options: ""- we should always calculate the expected consequences of our action.
- we should depend on rules of thumb derived from the principle of utility.
- we should consult tradition.
- we should consult scripture.""
Response: ""we should depend on rules of thumb derived from the principle of utility.""




Based solely on these examples, predict the most likely response from the black-box model to this new question. 
New Question: Mill claims that one of the strongest objections to utilitarianism is drawn from the idea of:
Options: - duty.
- justice.
- virtue.
- supererogation.
Your Predicted Black-box LLM Response: (Exact response text only)
",3,1,0.04058673232793808,0.04893365502357483
rationalism.,relativism.,relativism.,"Your goal is to predict what the black-box model will answer to a given question. Below are examples of inputs (questions) and the black-box model's actual responses.

The black-box LLM saw the following instructions each time it answered:
1. System instruction: ""You are a helpful AI assistant answering questions. Provide only accurate answers in natural language.""
2. Prompt structure given to black-box LLM:
  """"""
  Given the following question and candidate answers, choose the best answer. 
  Do not include option labels (A, B, C, D); respond only with natural answer text. 
  Provide only the answer text in your response.

  Question: <question_text>
  Options: <option_texts>
  """"""

Examples of the Black-Box LLM in Action:
Example 1:
Question: ""Nussbaum claims that at the first stage of ethical inquiry, terms for the virtues should be:""
Options: ""- as descriptive as possible.
- those that are conventionally used.
- neutral between competing specifications of the virtue.
- none of the above.""
Response: ""neutral between competing specifications of the virtue.""

Example 2:
Question: ""Nussbaum claims that the specification of particular virtues:""
Options: ""- will always consist of a single answer.
- might sometimes turn out to be a disjunction.
- is necessarily relative to a culture.
- can be settled in such a way as to be no longer revisable.""
Response: ""might sometimes turn out to be a disjunction.""

Example 3:
Question: ""Nussbaum claims that for Aristotle the reference of each virtue term is fixed by:""
Options: ""- conventional use.
- grounding experiences.
- a thick description of the virtue.
- tradition.""
Response: ""a thick description of the virtue.""

Example 4:
Question: ""Aristotle saw his theory of the virtues as:""
Options: ""- final and complete.
- open-ended and revisable.
- relative to his culture.
- applicable only to himself.""
Response: ""open-ended and revisable.""

Example 5:
Question: ""In Aristotle’s view, the virtues are:""
Options: ""- acquired through habit.
- acquired through philosophical reflection.
- a gift from the gods.
- innate.""
Response: ""acquired through habit.""




Based solely on these examples, predict the most likely response from the black-box model to this new question. 
New Question: Nussbaum claims that to many current ethical theorists, turning to an ethical approach based on the virtues is connected with a turn toward:
Options: - rationalism.
- empiricism.
- relativism.
- absolutism.
Your Predicted Black-box LLM Response: (Exact response text only)
",0,2,0.12675413489341736,0.11882738769054413
Disobedience to a sovereign.,failure to abide by a contract,failure to abide by a contract,"Your goal is to predict what the black-box model will answer to a given question. Below are examples of inputs (questions) and the black-box model's actual responses.

The black-box LLM saw the following instructions each time it answered:
1. System instruction: ""You are a helpful AI assistant answering questions. Provide only accurate answers in natural language.""
2. Prompt structure given to black-box LLM:
  """"""
  Given the following question and candidate answers, choose the best answer. 
  Do not include option labels (A, B, C, D); respond only with natural answer text. 
  Provide only the answer text in your response.

  Question: <question_text>
  Options: <option_texts>
  """"""

Examples of the Black-Box LLM in Action:
Example 1:
Question: ""Hobbes defines injustice as:""
Options: ""- taking more than one’s share of a good.
- failure to perform one’s covenant.
- treating another person as a mere means.
- violating a law of nature.""
Response: ""failure to perform one's covenant.""

Example 2:
Question: ""According to Hobbes, in the condition of man in which there is a state of war of everyone against everyone, every man has a right to _____.""
Options: ""- some things
- lawful treatment
- due process
- everything""
Response: ""everything.""

Example 3:
Question: ""According to Hobbes, the right of nature is:""
Options: ""- an entitlement to the fruits of one’s labors.
- a claim not to be harmed by others.
- the right of the king to rule his subjects.
- the liberty to use one’s powers to preserve one’s life.""
Response: ""the liberty to use one’s powers to preserve one’s life.""

Example 4:
Question: ""In Hobbes’s view, a law of nature is:""
Options: ""- a command of God.
- a principle of duty, known by intuition.
- a principle, known by reason, which forbids one from doing something destructive of one’s life.
- None of the above.""
Response: ""a principle, known by reason, which forbids one from doing something destructive of one’s life.""

Example 5:
Question: ""According to Hobbes, whenever and wherever men live without a common power to keep them all in awe, there is _____.""
Options: ""- negotiation
- war
- democracy
- freedom""
Response: ""war""




Based solely on these examples, predict the most likely response from the black-box model to this new question. 
New Question: According to Hobbes, the definition of injustice is _____.
Options: - disobedience to a sovereign
- disobedience to God's law
- failure to abide by a contract
- failure to respect inherent rights
Your Predicted Black-box LLM Response: (Exact response text only)
",0,2,0.12061186134815216,0.14504317939281464
produce a good will.,produce knowledge.,produce knowledge.,"Your goal is to predict what the black-box model will answer to a given question. Below are examples of inputs (questions) and the black-box model's actual responses.

The black-box LLM saw the following instructions each time it answered:
1. System instruction: ""You are a helpful AI assistant answering questions. Provide only accurate answers in natural language.""
2. Prompt structure given to black-box LLM:
  """"""
  Given the following question and candidate answers, choose the best answer. 
  Do not include option labels (A, B, C, D); respond only with natural answer text. 
  Provide only the answer text in your response.

  Question: <question_text>
  Options: <option_texts>
  """"""

Examples of the Black-Box LLM in Action:
Example 1:
Question: ""According to Kant, morality requires us to:""
Options: ""- perform the action that leads to the greatest total happiness.
- act only on maxims that we can will to become universal laws.
- behave only in such a way as a perfectly virtuous person would behave.
- place the interests of others above the interests of ourselves.""
Response: ""act only on maxims that we can will to become universal laws.""

Example 2:
Question: ""According to Hume, reason:""
Options: ""- should serve our passions.
- should operate completely independently of our passions.
- should be used to direct our passions.
- should be used to extinguish our passions.""
Response: ""should serve our passions.""

Example 3:
Question: ""Hume describes reason as:""
Options: ""- cool and disengaged.
- the source of all moral actions.
- the first spring or impulse to desire.
- all of the above.""
Response: ""all of the above""

Example 4:
Question: ""Kant says that when trying to decide whether an action is morally permissible, we must ask if we can consistently will that the maxim of our action should become _____.""
Options: ""- a rule for maximizing happiness
- a contingent law
- a universal law
- a rule of thumb""
Response: ""a universal law""

Example 5:
Question: ""Kant claims that the moral law is given to each person by:""
Options: ""- society.
- one’s own will.
- God.
- Nature.""
Response: ""one’s own will.""




Based solely on these examples, predict the most likely response from the black-box model to this new question. 
New Question: Kant claims that the natural purpose of reason is to:
Options: - produce happiness.
- produce pleasure.
- produce knowledge.
- produce a good will.
Your Predicted Black-box LLM Response: (Exact response text only)
",3,2,0.11462463438510895,0.1840704381465912
usefulness to society.,pleasure and the absence of pain.,pleasure and the absence of pain.,"Your goal is to predict what the black-box model will answer to a given question. Below are examples of inputs (questions) and the black-box model's actual responses.

The black-box LLM saw the following instructions each time it answered:
1. System instruction: ""You are a helpful AI assistant answering questions. Provide only accurate answers in natural language.""
2. Prompt structure given to black-box LLM:
  """"""
  Given the following question and candidate answers, choose the best answer. 
  Do not include option labels (A, B, C, D); respond only with natural answer text. 
  Provide only the answer text in your response.

  Question: <question_text>
  Options: <option_texts>
  """"""

Examples of the Black-Box LLM in Action:
Example 1:
Question: ""Mill claims that the principle of utility:""
Options: ""- can be proven from self-evident principles.
- can be proven from principles that are known empirically.
- cannot be proven, and this is a unique problem for the theory.
- cannot be proven, but this is common to all first principles.""
Response: ""cannot be proven, but this is common to all first principles.""

Example 2:
Question: ""Mill claims that one of the strongest objections to utilitarianism is drawn from the idea of:""
Options: ""- duty.
- justice.
- virtue.
- supererogation.""
Response: ""justice.""

Example 3:
Question: ""According to Mill, to determine whether one pleasure is more valuable than another, we must _____.""
Options: ""- determine which one is objectively most pleasurable
- determine which pleasure most experienced people prefer
- consult philosophers of the past
- consult science""
Response: ""determine which pleasure most experienced people prefer""

Example 4:
Question: ""Mill says that the ultimate end of utilitarianism is an existence as free of pain as possible and as rich as possible in _____.""
Options: ""- lower pleasures
- spiritual attainment
- social achievement
- enjoyments""
Response: ""enjoyments""

Example 5:
Question: ""When faced with the complaint that utilitarianism is a doctrine worthy of swine, Mill responds that pleasures differ in:""
Options: ""- purity.
- quality.
- species.
- weight.""
Response: ""quality""




Based solely on these examples, predict the most likely response from the black-box model to this new question. 
New Question: Mill defines “utility” as:
Options: - usefulness for some craft.
- usefulness to society.
- pleasure and the absence of pain.
- it promotes the interests of all and does not harm anyone.
Your Predicted Black-box LLM Response: (Exact response text only)
",1,2,0.08163349330425262,0.025066128000617027
both a and b.,neither a nor b.,neither a nor b,"Your goal is to predict what the black-box model will answer to a given question. Below are examples of inputs (questions) and the black-box model's actual responses.

The black-box LLM saw the following instructions each time it answered:
1. System instruction: ""You are a helpful AI assistant answering questions. Provide only accurate answers in natural language.""
2. Prompt structure given to black-box LLM:
  """"""
  Given the following question and candidate answers, choose the best answer. 
  Do not include option labels (A, B, C, D); respond only with natural answer text. 
  Provide only the answer text in your response.

  Question: <question_text>
  Options: <option_texts>
  """"""

Examples of the Black-Box LLM in Action:
Example 1:
Question: ""According to Wolf, a moral saint:""
Options: ""- cannot read Victorian novels.
- cannot have a sarcastic wit.
- cannot have an interest in gourmet cooking.
- all of the above.""
Response: ""all of the above""

Example 2:
Question: ""Wolf claims that morality:""
Options: ""- is merely a cultural artifact.
- is not really relevant to our lives.
- provides a comprehensive guide to conduct.
- none of the above.""
Response: ""is merely a cultural artifact.""

Example 3:
Question: ""Brandt claims that whether a moral code is ideal depends in part on:""
Options: ""- the complexity of the rules.
- how many people would likely violate it.
- the costs of its restrictions, in terms of the guilt it induces.
- all of the above.""
Response: ""all of the above""

Example 4:
Question: ""A Loving Saint is someone:""
Options: ""- whose happiness lies in the happiness of others.
- who pays little or no attention to his own happiness, in light of the overriding importance of morality.
- loves all human beings equally.
- is morally perfect only in relation to those he loves.""
Response: ""whose happiness lies in the happiness of others.""

Example 5:
Question: ""The morality that Gauthier describes as facing a foundational crisis essentially involves:""
Options: ""- enlightened egoism.
- pure altruism.
- justified constraint.
- prima facie duties.""
Response: ""enlightened egoism.""




Based solely on these examples, predict the most likely response from the black-box model to this new question. 
New Question: Wolf argues that the unattractiveness of the moral saint:
Options: - gives us reason to abandon utilitarianism.
- gives us reason to abandon Kantianism.
- both a and b.
- neither a nor b.
Your Predicted Black-box LLM Response: (Exact response text only)
",2,3,0.12930244207382202,0.08019217103719711
The existence of God.,freedom of the will.,freedom of the will.,"Your goal is to predict what the black-box model will answer to a given question. Below are examples of inputs (questions) and the black-box model's actual responses.

The black-box LLM saw the following instructions each time it answered:
1. System instruction: ""You are a helpful AI assistant answering questions. Provide only accurate answers in natural language.""
2. Prompt structure given to black-box LLM:
  """"""
  Given the following question and candidate answers, choose the best answer. 
  Do not include option labels (A, B, C, D); respond only with natural answer text. 
  Provide only the answer text in your response.

  Question: <question_text>
  Options: <option_texts>
  """"""

Examples of the Black-Box LLM in Action:
Example 1:
Question: ""According to Nagel, the problem of moral luck arises because:""
Options: ""- philosophers try to apply arbitrarily stringent standards to moral responsibility.
- the self is threatened with dissolution by the absorption of its acts into the class of events.
- our moral theories are hopelessly off track.
- our theories of human action are hopelessly off track.""
Response: ""our theories of human action are hopelessly off track.""

Example 2:
Question: ""Nagel claims that prior to reflection, it is plausible that people cannot be morally assessed for:""
Options: ""- actions that affect only themselves.
- their character.
- what is due to factors beyond their control.
- actions that do not violate anyone’s rights.""
Response: ""actions that affect only themselves.""

Example 3:
Question: ""One example of bad constitutive moral luck would be:""
Options: ""- a person who is by nature envious and ungenerous.
- a person who lived in Nazi Germany in 1940.
- a person who drives drunk and hits a child.
- all of the above.""
Response: ""all of the above""

Example 4:
Question: ""Nagel claims that most skeptical arguments:""
Options: ""- are the result of applying arbitrarily stringent standards.
- are based on linguistic confusions.
- are logically self-refuting.
- grow from the consistent application of ordinary standards.""
Response: ""are the result of applying arbitrarily stringent standards.""

Example 5:
Question: ""Brandt claims that whether a moral code is ideal depends in part on:""
Options: ""- the complexity of the rules.
- how many people would likely violate it.
- the costs of its restrictions, in terms of the guilt it induces.
- all of the above.""
Response: ""all of the above""




Based solely on these examples, predict the most likely response from the black-box model to this new question. 
New Question: Nagel claims that the problem of moral luck is closely connected to the problem of:
Options: - the existence of God.
- freedom of the will.
- psychological egoism.
- universals.
Your Predicted Black-box LLM Response: (Exact response text only)
",0,1,0.07341916114091873,0.1262706220149994
all felt at a single time.,neither a nor b.,all of the above,"Your goal is to predict what the black-box model will answer to a given question. Below are examples of inputs (questions) and the black-box model's actual responses.

The black-box LLM saw the following instructions each time it answered:
1. System instruction: ""You are a helpful AI assistant answering questions. Provide only accurate answers in natural language.""
2. Prompt structure given to black-box LLM:
  """"""
  Given the following question and candidate answers, choose the best answer. 
  Do not include option labels (A, B, C, D); respond only with natural answer text. 
  Provide only the answer text in your response.

  Question: <question_text>
  Options: <option_texts>
  """"""

Examples of the Black-Box LLM in Action:
Example 1:
Question: ""Parfit claims that the magnitude of pains:""
Options: ""- can be precisely compared.
- can be compared, but only roughly.
- can be compared within individuals, but not between individuals.
- cannot compared either within individuals or between individuals.""
Response: ""can be compared, but only roughly.""

Example 2:
Question: ""According to Bentham, considerations of pain and pleasure determine:""
Options: ""- what we ought to do.
- what we will do.
- both a and b.
- neither a nor b.""
Response: ""what we ought to do.""

Example 3:
Question: ""Taurek claims that if faced with the choice between saving the life of X or the arm of Y:""
Options: ""- Y is obligated to choose saving the life of X.
- we are obligated to choose saving the life of X.
- both a and b.
- neither a nor b.""
Response: ""neither a nor b.""

Example 4:
Question: ""Epicurus states that of all the things required for a complete life, the greatest is:""
Options: ""- honor.
- friendship.
- luxury.
- good food.""
Response: ""friendship.""

Example 5:
Question: ""Bentham defines the fecundity of a pleasure or pain as:""
Options: ""- its chance of occurring.
- the degree to which it is felt.
- its chance of being followed by sensations of the same kind.
- how long it lasts.""
Response: ""its chance of being followed by sensations of the same kind.""




Based solely on these examples, predict the most likely response from the black-box model to this new question. 
New Question: According to Parfit, both Taurek and Lewis assume that for there to be a “sum of pain,” it must be:
Options: - all felt at a single time.
- all felt by a single person.
- all be caused by a single source.
- all of the above.
Your Predicted Black-box LLM Response: (Exact response text only)
",0,3,0.03405025601387024,0.05202559381723404
