zero_shot_response,few_shot_response,black_box_response,prompt,zero_shot_top_index,few_shot_top_index,prompt_pick_cosine_sim_zero,prompt_pick_cosine_sim_few
Message-oriented advertising campaigns are focused on gathering support for a particular message or cause.,"Based on the given examples, the black-box model tends to choose the option that directly answers the question or is most relevant to the context. 

In the new question, the correct answer is ""Idea-oriented"" because idea-oriented advertising campaigns focus on promoting a particular message or cause. 

Predicted Black-box LLM Response: ""Idea-oriented""",Idea-oriented,"Your goal is to predict what the black-box model will answer to a given question. Below are examples of inputs (questions) and the black-box model's actual responses.

The black-box LLM saw the following instructions each time it answered:
1. System instruction: ""You are a helpful AI assistant answering questions. Provide only accurate answers in natural language.""
2. Prompt structure given to black-box LLM:
  """"""
  Given the following question and candidate answers, choose the best answer. 
  Do not include option labels (A, B, C, D); respond only with natural answer text. 
  Provide only the answer text in your response.

  Question: <question_text>
  Options: <option_texts>
  """"""

Examples of the Black-Box LLM in Action:
Example 1:
Question: ""A(n) ________ campaign is a paid form of impersonal communication, concerned with selling specific products, services, brands, images, and lifestyles to the public.""
Options: ""- public persuasive
- public relations
- advertising
- consumerism""
Response: ""advertising""

Example 2:
Question: ""The goal of ________ advertising is to promote a specific product and service to a target audience.""
Options: ""- person-oriented
- product-oriented
- profit-oriented
- idea-oriented""
Response: ""product-oriented""

Example 3:
Question: ""________ is most common to political campaigns because it focuses on raising the public's awareness about a particular person in hopes they will either support or not support the person.""
Options: ""- Product-oriented advertising
- Idea-oriented advertising
- Person-oriented advertising
- Platform-oriented advertising""
Response: ""Person-oriented advertising""

Example 4:
Question: ""There are three basic types of persuasive advertising campaigns. Which of the following is NOT one of them?""
Options: ""- Product-oriented
- Person-oriented
- Idea-oriented
- Result-oriented""
Response: ""Result-oriented""

Example 5:
Question: ""The second stage of the advertising campaign is to establish ________, or to become known as trustworthy and believable.""
Options: ""- legitimacy
- identity
- reliability
- agency""
Response: ""legitimacy""




Based solely on these examples, predict the most likely response from the black-box model to this new question. 
New Question: ________ advertising campaigns are focused on gathering support for a particular message or cause.
Options: - Product-oriented
- Person-oriented
- Idea-oriented
- Message-oriented
Your Predicted Black-box LLM Response: (Exact response text only)
",3,2,0.2285674810409546,0.17460691928863525
Strategy and evaluation.,Strategy and implementation,Strategy and implementation,"Your goal is to predict what the black-box model will answer to a given question. Below are examples of inputs (questions) and the black-box model's actual responses.

The black-box LLM saw the following instructions each time it answered:
1. System instruction: ""You are a helpful AI assistant answering questions. Provide only accurate answers in natural language.""
2. Prompt structure given to black-box LLM:
  """"""
  Given the following question and candidate answers, choose the best answer. 
  Do not include option labels (A, B, C, D); respond only with natural answer text. 
  Provide only the answer text in your response.

  Question: <question_text>
  Options: <option_texts>
  """"""

Examples of the Black-Box LLM in Action:
Example 1:
Question: ""At which stage in the planning process are the objectives decided on?""
Options: ""- Defining the program
- Planning the program
- Taking action and implementing ideas
- Evaluation of the program""
Response: ""Defining the program""

Example 2:
Question: ""According to Macnamara's (2005) pyramid of evaluation, at which stage is the situation analysis done and used to form objectives and implementation plans?""
Options: ""- Inputs
- Outputs
- Outtakes
- Outcomes""
Response: ""Inputs""

Example 3:
Question: ""According to Cutlip (2006), which stage of the communications plan should involve planning of what should be said and why?""
Options: ""- Situation analysis
- Strategy
- Implementation
- Evaluation involves assessing all aspects of the programme.""
Response: ""Strategy""

Example 4:
Question: ""Watson and Noble (2005) lay out a five-step model for circular evaluation. At which step should pre-testing of strategy and tactics be carried out?""
Options: ""- 1
- 2
- 3
- 4""
Response: ""2""

Example 5:
Question: ""The ________ phase of the PR process consists of making decisions about which strategies and tactics will be used to respond to the goals of the organization and executing those strategies and tactics.""
Options: ""- planning
- implementation
- evaluation
- tactical""
Response: ""implementation""




Based solely on these examples, predict the most likely response from the black-box model to this new question. 
New Question: What two elements do the planning models of Hendrix (2002), Kendall (1999), Merston (1963) and Parkinson and Ekachai (2006) have in common?
Options: - Research and evaluation
- Strategy and evaluation
- Strategy and implementation
- Objectives and implementation
Your Predicted Black-box LLM Response: (Exact response text only)
",1,2,0.27644574642181396,0.20282268524169922
There are approximately 600 regional newspapers in the UK.,"Based on the given examples, I predict the black-box model's response to the new question will be:

""2,800""","2,800","Your goal is to predict what the black-box model will answer to a given question. Below are examples of inputs (questions) and the black-box model's actual responses.

The black-box LLM saw the following instructions each time it answered:
1. System instruction: ""You are a helpful AI assistant answering questions. Provide only accurate answers in natural language.""
2. Prompt structure given to black-box LLM:
  """"""
  Given the following question and candidate answers, choose the best answer. 
  Do not include option labels (A, B, C, D); respond only with natural answer text. 
  Provide only the answer text in your response.

  Question: <question_text>
  Options: <option_texts>
  """"""

Examples of the Black-Box LLM in Action:
Example 1:
Question: ""Where was the first British newspaper printed?""
Options: ""- London
- Oxford
- Manchester
- Edinburgh""
Response: ""London""

Example 2:
Question: ""Which factors are mentioned that influence media coverage of a story?""
Options: ""- Content, quality of source, relevance
- Timing, content, media liaison
- Content, quality of source, human interest angle
- Timing, relevance, political slant""
Response: ""Content, quality of source, relevance""

Example 3:
Question: ""In recent research, the 14,000 stories that could be accessed on Google News' front page in a day pertained to how many actual news events?""
Options: ""- 18
- 24
- 326
- 9,574""
Response: ""9,574""

Example 4:
Question: ""Which traditional news criterion would you expect to be most important in public relations messages distributed through the mass media?""
Options: ""- Proximity
- Timeliness
- Prominence
- Impact""
Response: ""Impact.""

Example 5:
Question: ""Approximately half of all public relations practitioners work in""
Options: ""- government
- business and commercial areas
- health care and hospitals
- public relations firms""
Response: ""business and commercial areas""




Based solely on these examples, predict the most likely response from the black-box model to this new question. 
New Question: How many regional newspapers are there in the UK?
Options: - 270
- 600
- 2,800
- 5,200
Your Predicted Black-box LLM Response: (Exact response text only)
",1,2,0.1062329113483429,0.07454881072044373
A publicly-traded company.,A house of worship.,A house of worship,"Your goal is to predict what the black-box model will answer to a given question. Below are examples of inputs (questions) and the black-box model's actual responses.

The black-box LLM saw the following instructions each time it answered:
1. System instruction: ""You are a helpful AI assistant answering questions. Provide only accurate answers in natural language.""
2. Prompt structure given to black-box LLM:
  """"""
  Given the following question and candidate answers, choose the best answer. 
  Do not include option labels (A, B, C, D); respond only with natural answer text. 
  Provide only the answer text in your response.

  Question: <question_text>
  Options: <option_texts>
  """"""

Examples of the Black-Box LLM in Action:
Example 1:
Question: ""Which of the following information about publications does the Audit Bureau of Circulation NOT provide?""
Options: ""- Circulation
- Distribution
- Traffic
- Readership""
Response: ""Traffic""

Example 2:
Question: ""Which of the following information about publications does the Audit Bureau of Circulation NOT provide?""
Options: ""- Circulation
- Distribution
- Traffic
- Readership""
Response: ""Traffic""

Example 3:
Question: ""Which of the following Internet-related challenges is most significant in the public relations field?""
Options: ""- Representing clients using new social media environments
- Finding stable, cost-effective Internet providers
- Training staff to use social media
- Staying abreast of changing technology""
Response: ""Staying abreast of changing technology.""

Example 4:
Question: ""Which fashion house sued for damages to its reputation after being accused of stealing a design?""
Options: ""- Dior
- Givenchy
- Chanel
- Lacroix""
Response: ""Chanel""

Example 5:
Question: ""Which of these adjectives does NOT describe business writing?""
Options: ""- Formal
- Abstract
- Personal
- Objective""
Response: ""Personal""




Based solely on these examples, predict the most likely response from the black-box model to this new question. 
New Question: Which of the following entities cannot sue for libel?
Options: - A politician
- A house of worship
- A government institution
- A publicly-traded company
Your Predicted Black-box LLM Response: (Exact response text only)
",3,1,0.046217553317546844,-0.04503563418984413
It is an example of a formal research tool for practitioners.,The findings generate qualitative data that can be used to develop surveys.,The findings generate qualitative data that can be used to develop surveys.,"Your goal is to predict what the black-box model will answer to a given question. Below are examples of inputs (questions) and the black-box model's actual responses.

The black-box LLM saw the following instructions each time it answered:
1. System instruction: ""You are a helpful AI assistant answering questions. Provide only accurate answers in natural language.""
2. Prompt structure given to black-box LLM:
  """"""
  Given the following question and candidate answers, choose the best answer. 
  Do not include option labels (A, B, C, D); respond only with natural answer text. 
  Provide only the answer text in your response.

  Question: <question_text>
  Options: <option_texts>
  """"""

Examples of the Black-Box LLM in Action:
Example 1:
Question: ""Which of these types of survey question seeks qualitative information?""
Options: ""- Likert scale
- Multiple choice
- Open-ended
- Yes/No""
Response: ""Open-ended""

Example 2:
Question: ""Approximately what proportion of nonprofit sector practitioners conduct audience research?""
Options: ""- One-quarter
- One-half
- Two thirds
- Almost all""
Response: ""Almost all.""

Example 3:
Question: ""Segmentation of the population into psychographics, demographics and geodemographics is especially important in which public relations specialisation?""
Options: ""- Issues management
- Investor relations
- Public affairs
- Marketing communications""
Response: ""Marketing communications""

Example 4:
Question: ""Which statement is NOT true of both issues management and crisis management?""
Options: ""- They both require research monitoring.
- They both deal with acute risks.
- New organizational practices are developed as a result of each.
- Both have the potential to damage an organisation's reputation.""
Response: ""New organizational practices are developed as a result of each.""

Example 5:
Question: ""Who argued that if an organization did not affect a public then there was no need for a practitioner to consider that public in its communications?""
Options: ""- Cutlip (2006)
- Leitch and Neilson (2001)
- Amaral and Phillips (2010)
- Grunig and Hunt (1984)""
Response: ""Grunig and Hunt (1984)""




Based solely on these examples, predict the most likely response from the black-box model to this new question. 
New Question: Which statement is true about focus group research?
Options: - The participants should be selected at random.
- It is an example of a formal research tool for practitioners.
- The information can be generalized to describe a larger population.
- The findings generate qualitative data that can be used to develop surveys.
Your Predicted Black-box LLM Response: (Exact response text only)
",1,3,0.24535249173641205,0.25196415185928345
Media writing.,"Based on the given examples, I predict the black-box model's response to the new question will be:

""Business writing.""",Business writing,"Your goal is to predict what the black-box model will answer to a given question. Below are examples of inputs (questions) and the black-box model's actual responses.

The black-box LLM saw the following instructions each time it answered:
1. System instruction: ""You are a helpful AI assistant answering questions. Provide only accurate answers in natural language.""
2. Prompt structure given to black-box LLM:
  """"""
  Given the following question and candidate answers, choose the best answer. 
  Do not include option labels (A, B, C, D); respond only with natural answer text. 
  Provide only the answer text in your response.

  Question: <question_text>
  Options: <option_texts>
  """"""

Examples of the Black-Box LLM in Action:
Example 1:
Question: ""Which traditional news criterion would you expect to be most important in public relations messages distributed through the mass media?""
Options: ""- Proximity
- Timeliness
- Prominence
- Impact""
Response: ""Impact.""

Example 2:
Question: ""Which of these adjectives does NOT describe business writing?""
Options: ""- Formal
- Abstract
- Personal
- Objective""
Response: ""Personal""

Example 3:
Question: ""Which of the following is NOT one of the four categories of persuasive crisis communication strategies identified by W. Timothy Coombs?""
Options: ""- ingratiation
- downplaying
- distancing
- nonexistence""
Response: ""nonexistence""

Example 4:
Question: ""What is the major advantage of organizational publications?""
Options: ""- Their ability to provide a revenue source for sponsoring organizations
- Their ability to deliver specific, detailed information to narrowly defined target publics
- Their ability to avoid the problems typically associated with two-way media
- Their ability to give sponsoring organizations a means of uncontrolled communications""
Response: ""Their ability to deliver specific, detailed information to narrowly defined target publics""

Example 5:
Question: ""Which area of public relations deals with emerging issues and their potential impact on an organization?""
Options: ""- Public opinion
- Issues management
- Public affairs
- Lobbying""
Response: ""Issues management""




Based solely on these examples, predict the most likely response from the black-box model to this new question. 
New Question: Newsletters generally fall in to which writing category?
Options: - Media writing
- Personal writing
- Business writing
- Promotional writing
Your Predicted Black-box LLM Response: (Exact response text only)
",0,2,0.1959344446659088,0.26231077313423157
Public relations.,"Based on the given examples, I predict the most likely response from the black-box model to the new question is:

public issues",public issues,"Your goal is to predict what the black-box model will answer to a given question. Below are examples of inputs (questions) and the black-box model's actual responses.

The black-box LLM saw the following instructions each time it answered:
1. System instruction: ""You are a helpful AI assistant answering questions. Provide only accurate answers in natural language.""
2. Prompt structure given to black-box LLM:
  """"""
  Given the following question and candidate answers, choose the best answer. 
  Do not include option labels (A, B, C, D); respond only with natural answer text. 
  Provide only the answer text in your response.

  Question: <question_text>
  Options: <option_texts>
  """"""

Examples of the Black-Box LLM in Action:
Example 1:
Question: ""________ is most common to political campaigns because it focuses on raising the public's awareness about a particular person in hopes they will either support or not support the person.""
Options: ""- Product-oriented advertising
- Idea-oriented advertising
- Person-oriented advertising
- Platform-oriented advertising""
Response: ""Person-oriented advertising""

Example 2:
Question: ""A(n) ________ campaign is a paid form of impersonal communication, concerned with selling specific products, services, brands, images, and lifestyles to the public.""
Options: ""- public persuasive
- public relations
- advertising
- consumerism""
Response: ""advertising""

Example 3:
Question: ""________ advertising campaigns are focused on gathering support for a particular message or cause.""
Options: ""- Product-oriented
- Person-oriented
- Idea-oriented
- Message-oriented""
Response: ""Idea-oriented""

Example 4:
Question: ""Which form of communication is most effective in forming or changing predispositions toward an issue?""
Options: ""- Interpersonal
- Media
- Group
- Public""
Response: ""Interpersonal""

Example 5:
Question: ""When a campaign becomes noticed and unavoidable, it has achieved the ________ stage.""
Options: ""- participation
- penetration
- distribution
- identification""
Response: ""penetration""




Based solely on these examples, predict the most likely response from the black-box model to this new question. 
New Question: A ________ campaign occurs when people from two or more opposing sides of an argument have emotional convictions about a decision that has the power to impact their lives.
Options: - public relations
- public issues
- crisis management
- consumer relations
Your Predicted Black-box LLM Response: (Exact response text only)
",0,1,0.15815339982509613,0.13345670700073242
A point of view.,"Based on the given examples, I predict the black-box model's response to the new question will be:

An opinion",An opinion,"Your goal is to predict what the black-box model will answer to a given question. Below are examples of inputs (questions) and the black-box model's actual responses.

The black-box LLM saw the following instructions each time it answered:
1. System instruction: ""You are a helpful AI assistant answering questions. Provide only accurate answers in natural language.""
2. Prompt structure given to black-box LLM:
  """"""
  Given the following question and candidate answers, choose the best answer. 
  Do not include option labels (A, B, C, D); respond only with natural answer text. 
  Provide only the answer text in your response.

  Question: <question_text>
  Options: <option_texts>
  """"""

Examples of the Black-Box LLM in Action:
Example 1:
Question: ""Which form of communication is most effective in forming or changing predispositions toward an issue?""
Options: ""- Interpersonal
- Media
- Group
- Public""
Response: ""Interpersonal""

Example 2:
Question: ""A ________ campaign occurs when people from two or more opposing sides of an argument have emotional convictions about a decision that has the power to impact their lives.""
Options: ""- public relations
- public issues
- crisis management
- consumer relations""
Response: ""public issues""

Example 3:
Question: ""In the Westley and MacLean model of communication, which role describes the way in which the public obtain or receive the message?""
Options: ""- The advocacy role
- The channel's role
- The gatekeeper role
- The behavioural role""
Response: ""The channel's role""

Example 4:
Question: ""Which statement describes an idea from utilitarianism?""
Options: ""- What is right and what is wrong are predetermined.
- People should be treated as an end, not a means to an end.
- The greatest good for the greatest number.
- Those better off should give to people who are not as well off.""
Response: ""The greatest good for the greatest number.""

Example 5:
Question: ""According to ""working theory,"" what is the step that occurs between an individual gaining information and changing behavior?""
Options: ""- coorientation
- opinion change
- reaction formation
- semantic encoding""
Response: ""opinion change""




Based solely on these examples, predict the most likely response from the black-box model to this new question. 
New Question: When an attitude is communicated, what does it become?
Options: - An opinion
- A belief
- A behaviour
- A point of view
Your Predicted Black-box LLM Response: (Exact response text only)
",3,0,0.11202466487884521,0.20637352764606476
"The Booming Twenties Era, 1919 - 1929.","Seedbed Era, 1900 - 1917","Seedbed Era, 1900-1917","Your goal is to predict what the black-box model will answer to a given question. Below are examples of inputs (questions) and the black-box model's actual responses.

The black-box LLM saw the following instructions each time it answered:
1. System instruction: ""You are a helpful AI assistant answering questions. Provide only accurate answers in natural language.""
2. Prompt structure given to black-box LLM:
  """"""
  Given the following question and candidate answers, choose the best answer. 
  Do not include option labels (A, B, C, D); respond only with natural answer text. 
  Provide only the answer text in your response.

  Question: <question_text>
  Options: <option_texts>
  """"""

Examples of the Black-Box LLM in Action:
Example 1:
Question: ""What public relations pioneer is credited with being the first practitioner to insist on ""a place at the management table""?""
Options: ""- Carl Byoir
- Edward Bernays
- Doris Fleischman
- Arthur Page""
Response: ""Arthur Page""

Example 2:
Question: ""Which area of public relations deals with emerging issues and their potential impact on an organization?""
Options: ""- Public opinion
- Issues management
- Public affairs
- Lobbying""
Response: ""Issues management""

Example 3:
Question: ""Which traditional news criterion would you expect to be most important in public relations messages distributed through the mass media?""
Options: ""- Proximity
- Timeliness
- Prominence
- Impact""
Response: ""Impact.""

Example 4:
Question: ""In recent years social media has had a major impact on the practice of public relations. In which of the following areas has the impact been greatest and experienced most immediately?""
Options: ""- Politics
- Retail business
- Automotive sales
- Nonprofits""
Response: ""Nonprofits""

Example 5:
Question: ""Emma is browsing a popular website when she runs across the story of a well-known actor who was recently pulled over for speeding and driving down the wrong side of the street. It turns out he had been drinking, and the arresting police officer found drugs in the car. The actor's publicist issued a statement claiming the actor was just tired and that the drugs belonged to someone else. Emma can't help having the impression that all public relations are ________ and occur only after something negative has occurred.""
Options: ""- proactive
- reactive
- manipulative
- manipulative""
Response: ""reactive""




Based solely on these examples, predict the most likely response from the black-box model to this new question. 
New Question: In which era did muckraking journalism led to the widespread introduction of public relations in business?
Options: - Postwar Era, 1945 - 1965
- Roosevelt Era, 1930 - 1945
- Booming Twenties Era, 1919 - 1929
- Seedbed Era, 1900 ' 1917
Your Predicted Black-box LLM Response: (Exact response text only)
",2,3,0.04706983640789986,0.02575679123401642
80%,"Based on the given examples, the black-box model tends to choose the highest percentage option. 

In Example 1, the correct answer is ""Almost all"" which is equivalent to 100%, but since it's not an option, it chose the closest higher option. 
In Example 2, the correct answer is ""Workforce development"", which is not a percentage.
In Example 3 and 4, the correct answer is ""Traffic"".
In Example 5, the correct answer is ""9,574"", which is not a percentage.

Given the new question, the most likely response from the black-box model would be the highest percentage option, which is:

80%",70%,"Your goal is to predict what the black-box model will answer to a given question. Below are examples of inputs (questions) and the black-box model's actual responses.

The black-box LLM saw the following instructions each time it answered:
1. System instruction: ""You are a helpful AI assistant answering questions. Provide only accurate answers in natural language.""
2. Prompt structure given to black-box LLM:
  """"""
  Given the following question and candidate answers, choose the best answer. 
  Do not include option labels (A, B, C, D); respond only with natural answer text. 
  Provide only the answer text in your response.

  Question: <question_text>
  Options: <option_texts>
  """"""

Examples of the Black-Box LLM in Action:
Example 1:
Question: ""Approximately what proportion of nonprofit sector practitioners conduct audience research?""
Options: ""- One-quarter
- One-half
- Two thirds
- Almost all""
Response: ""Almost all.""

Example 2:
Question: ""Which of these ways a business impacts on the world do stakeholders NOT normally look at?""
Options: ""- Workforce development
- Impact on local communities
- Impact on the environment
- Financial performance""
Response: ""Workforce development""

Example 3:
Question: ""Which of the following information about publications does the Audit Bureau of Circulation NOT provide?""
Options: ""- Circulation
- Distribution
- Traffic
- Readership""
Response: ""Traffic""

Example 4:
Question: ""Which of the following information about publications does the Audit Bureau of Circulation NOT provide?""
Options: ""- Circulation
- Distribution
- Traffic
- Readership""
Response: ""Traffic""

Example 5:
Question: ""In recent research, the 14,000 stories that could be accessed on Google News' front page in a day pertained to how many actual news events?""
Options: ""- 18
- 24
- 326
- 9,574""
Response: ""9,574""




Based solely on these examples, predict the most likely response from the black-box model to this new question. 
New Question: A 2008 survey showed that what percentage of the world's largest companies are reporting their corporate responsibility?
Options: - 50%
- 60%
- 70%
- 80%
Your Predicted Black-box LLM Response: (Exact response text only)
",3,2,0.1279493272304535,0.14136582612991333
